id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe
1,90,Toallas Húmedas x50,1,"2,902","2,902"
2,82,Aceitunas Negras 200g,5,"2,394","11,970"
2,39,Helado Vainilla 1L,5,469,"2,345"
2,70,Fernet 750ml,2,"4,061","8,122"
2,22,Medialunas de Manteca,1,"2,069","2,069"
2,79,Hamburguesas Congeladas x4,4,"2,420","9,680"
3,9,Yerba Mate Suave 1kg,2,"3,878","7,756"
3,2,Pepsi 1.5L,2,"4,973","9,946"
3,85,Jugo en Polvo Naranja,1,"1,856","1,856"
4,4,Fanta Naranja 1.5L,2,"2,033","4,066"
4,23,Bizcochos Salados,5,"2,380","11,900"
5,86,Jugo en Polvo Limón,4,"4,090","16,360"
6,25,Galletitas Vainilla,2,"4,015","8,030"
6,31,Mix de Frutos Secos 200g,3,"3,409","10,227"
6,83,Queso Untable 190g,1,"1,830","1,830"
6,59,Chicle Menta,4,"3,612","14,448"
7,63,Granola 250g,3,"4,337","13,011"
8,53,Lavandina 1L,5,"1,664","8,320"
8,18,Queso Rallado 150g,4,"3,444","13,776"
8,68,Vino Blanco 750ml,5,"2,684","13,420"
9,65,Cerveza Rubia 1L,4,"2,423","9,692"
10,36,Dulce de Leche 400g,2,"2,559","5,118"
10,100,Trapo de Piso,4,"4,854","19,416"
10,37,Mermelada de Durazno 400g,3,"3,196","9,588"
10,62,Stevia 100 sobres,1,"3,848","3,848"
11,13,Té Verde 20 saquitos,1,"2,383","2,383"
11,65,Cerveza Rubia 1L,2,"2,423","4,846"
11,28,Papas Fritas Clásicas 100g,1,936,936
12,72,Ron 700ml,2,"3,876","7,752"
12,50,Azúcar 1kg,2,727,"1,454"
12,56,Papel Higiénico x4,3,"2,532","7,596"
12,87,Sopa Instantánea Pollo,3,"1,679","5,037"
12,38,Mermelada de Frutilla 400g,4,"1,584","6,336"
13,87,Sopa Instantánea Pollo,1,"1,679","1,679"
13,81,Aceitunas Verdes 200g,3,"2,520","7,560"
13,13,Té Verde 20 saquitos,1,"2,383","2,383"
14,36,Dulce de Leche 400g,4,"2,559","10,236"
14,72,Ron 700ml,5,"3,876","19,380"
14,38,Mermelada de Frutilla 400g,3,"1,584","4,752"
14,97,Limpiavidrios 500ml,1,872,872
15,37,Mermelada de Durazno 400g,3,"3,196","9,588"
16,35,Barrita de Cereal 30g,5,"4,430","22,150"
17,81,Aceitunas Verdes 200g,5,"2,520","12,600"
17,46,Lentejas Secas 500g,5,"3,036","15,180"
17,74,Whisky 750ml,3,"2,953","8,859"
18,33,Chocolate con Leche 100g,2,"1,255","2,510"
18,4,Fanta Naranja 1.5L,5,"2,033","10,165"
18,24,Galletitas Chocolate,2,"1,305","2,610"
18,15,Leche Descremada 1L,3,"2,538","7,614"
18,22,Medialunas de Manteca,5,"2,069","10,345"
19,38,Mermelada de Frutilla 400g,2,"1,584","3,168"
19,98,Desengrasante 500ml,3,"2,843","8,529"
19,63,Granola 250g,3,"4,337","13,011"
20,32,Chocolate Amargo 100g,3,"2,234","6,702"
21,76,Pizza Congelada Muzzarella,5,"4,286","21,430"
21,35,Barrita de Cereal 30g,1,"4,430","4,430"
22,9,Yerba Mate Suave 1kg,2,"3,878","7,756"
22,28,Papas Fritas Clásicas 100g,3,936,"2,808"
22,24,Galletitas Chocolate,4,"1,305","5,220"
23,64,Avena Instantánea 250g,4,"3,953","15,812"
23,83,Queso Untable 190g,4,"1,830","7,320"
24,91,Desodorante Aerosol,2,"4,690","9,380"
24,40,Helado Chocolate 1L,5,"1,215","6,075"
25,55,Shampoo 400ml,1,"1,407","1,407"
25,95,Mascarilla Capilar,5,"1,581","7,905"
25,72,Ron 700ml,1,"3,876","3,876"
26,79,Hamburguesas Congeladas x4,2,"2,420","4,840"
26,86,Jugo en Polvo Limón,1,"4,090","4,090"
27,7,Jugo de Manzana 1L,4,"3,269","13,076"
27,78,Verduras Congeladas Mix,4,"4,289","17,156"
28,74,Whisky 750ml,1,"2,953","2,953"
28,91,Desodorante Aerosol,2,"4,690","9,380"
28,72,Ron 700ml,1,"3,876","3,876"
28,18,Queso Rallado 150g,2,"3,444","6,888"
28,27,Alfajor Simple,5,"2,502","12,510"
29,58,Caramelos Masticables,1,"4,752","4,752"
29,36,Dulce de Leche 400g,2,"2,559","5,118"
29,71,Vodka 700ml,4,508,"2,032"
29,27,Alfajor Simple,2,"2,502","5,004"
29,66,Cerveza Negra 1L,1,"1,533","1,533"
30,49,Harina de Trigo 1kg,4,"2,512","10,048"
30,78,Verduras Congeladas Mix,3,"4,289","12,867"
30,82,Aceitunas Negras 200g,4,"2,394","9,576"
30,7,Jugo de Manzana 1L,1,"3,269","3,269"
31,92,Crema Dental 90g,4,"2,512","10,048"
31,90,Toallas Húmedas x50,3,"2,902","8,706"
31,84,Queso Azul 150g,5,"1,645","8,225"
32,72,Ron 700ml,5,"3,876","19,380"
32,53,Lavandina 1L,4,"1,664","6,656"
32,17,Queso Cremoso 500g,3,"4,834","14,502"
32,35,Barrita de Cereal 30g,3,"4,430","13,290"
33,47,Garbanzos 500g,2,"2,939","5,878"
33,76,Pizza Congelada Muzzarella,4,"4,286","17,144"
33,100,Trapo de Piso,1,"4,854","4,854"
33,91,Desodorante Aerosol,2,"4,690","9,380"
34,10,Yerba Mate Intensa 1kg,1,"4,883","4,883"
34,32,Chocolate Amargo 100g,5,"2,234","11,170"
35,93,Cepillo de Dientes,3,"2,142","6,426"
35,80,Helado de Frutilla 1L,2,"1,981","3,962"
35,88,Caldo Concentrado Carne,5,"2,570","12,850"
36,50,Azúcar 1kg,4,727,"2,908"
36,48,Porotos Negros 500g,2,"4,462","8,924"
37,18,Queso Rallado 150g,3,"3,444","10,332"
38,62,Stevia 100 sobres,5,"3,848","19,240"
38,14,Leche Entera 1L,3,"1,723","5,169"
38,65,Cerveza Rubia 1L,5,"2,423","12,115"
38,5,Agua Mineral 500ml,3,"4,777","14,331"
39,44,Arroz Largo Fino 1kg,4,"2,979","11,916"
39,22,Medialunas de Manteca,2,"2,069","4,138"
39,58,Caramelos Masticables,4,"4,752","19,008"
39,81,Aceitunas Verdes 200g,4,"2,520","10,080"
40,44,Arroz Largo Fino 1kg,2,"2,979","5,958"
41,51,Sal Fina 500g,1,"1,745","1,745"
41,15,Leche Descremada 1L,1,"2,538","2,538"
42,47,Garbanzos 500g,3,"2,939","8,817"
42,29,Papas Fritas Onduladas 100g,1,"1,868","1,868"
42,73,Gin 700ml,3,"1,561","4,683"
43,1,Coca Cola 1.5L,5,"2,347","11,735"
43,49,Harina de Trigo 1kg,2,"2,512","5,024"
43,66,Cerveza Negra 1L,2,"1,533","3,066"
44,48,Porotos Negros 500g,1,"4,462","4,462"
44,47,Garbanzos 500g,2,"2,939","5,878"
44,100,Trapo de Piso,2,"4,854","9,708"
45,12,Té Negro 20 saquitos,2,570,"1,140"
45,18,Queso Rallado 150g,2,"3,444","6,888"
45,87,Sopa Instantánea Pollo,4,"1,679","6,716"
45,98,Desengrasante 500ml,1,"2,843","2,843"
45,52,Detergente Líquido 750ml,2,"2,582","5,164"
46,21,Pan Lactal Integral,1,272,272
47,43,Salsa de Tomate 500g,5,887,"4,435"
47,6,Jugo de Naranja 1L,3,"4,170","12,510"
48,70,Fernet 750ml,1,"4,061","4,061"
48,54,Jabón de Tocador,5,"1,592","7,960"
48,57,Servilletas x100,4,"4,520","18,080"
49,59,Chicle Menta,2,"3,612","7,224"
49,21,Pan Lactal Integral,4,272,"1,088"
49,59,Chicle Menta,4,"3,612","14,448"
49,18,Queso Rallado 150g,3,"3,444","10,332"
49,85,Jugo en Polvo Naranja,3,"1,856","5,568"
50,10,Yerba Mate Intensa 1kg,2,"4,883","9,766"
50,34,Turrón 50g,5,503,"2,515"
50,58,Caramelos Masticables,5,"4,752","23,760"
50,32,Chocolate Amargo 100g,3,"2,234","6,702"
50,91,Desodorante Aerosol,4,"4,690","18,760"
51,31,Mix de Frutos Secos 200g,1,"3,409","3,409"
52,83,Queso Untable 190g,2,"1,830","3,660"
52,9,Yerba Mate Suave 1kg,4,"3,878","15,512"
52,81,Aceitunas Verdes 200g,5,"2,520","12,600"
52,38,Mermelada de Frutilla 400g,3,"1,584","4,752"
53,28,Papas Fritas Clásicas 100g,1,936,936
54,65,Cerveza Rubia 1L,1,"2,423","2,423"
54,18,Queso Rallado 150g,2,"3,444","6,888"
54,91,Desodorante Aerosol,3,"4,690","14,070"
54,8,Energética Nitro 500ml,3,"4,218","12,654"
55,39,Helado Vainilla 1L,4,469,"1,876"
56,18,Queso Rallado 150g,5,"3,444","17,220"
57,31,Mix de Frutos Secos 200g,3,"3,409","10,227"
57,41,Aceite de Girasol 1L,4,860,"3,440"
57,9,Yerba Mate Suave 1kg,5,"3,878","19,390"
57,76,Pizza Congelada Muzzarella,3,"4,286","12,858"
57,98,Desengrasante 500ml,4,"2,843","11,372"
58,43,Salsa de Tomate 500g,2,887,"1,774"
