id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe,importe_calculado,categoria,fecha,id_cliente,medio_pago,ciudad,fecha_alta
1,90,Toallas Húmedas x50,1,2902,2902,2902,Limpieza,2024-06-19,62,tarjeta,Carlos Paz,2023-03-03
2,82,Aceitunas Negras 200g,5,2394,11970,11970,Limpieza,2024-03-17,49,qr,Rio Cuarto,2023-02-18
2,39,Helado Vainilla 1L,5,469,2345,2345,Alimentos,2024-03-17,49,qr,Rio Cuarto,2023-02-18
2,70,Fernet 750ml,2,4061,8122,8122,Limpieza,2024-03-17,49,qr,Rio Cuarto,2023-02-18
2,22,Medialunas de Manteca,1,2069,2069,2069,Limpieza,2024-03-17,49,qr,Rio Cuarto,2023-02-18
2,79,Hamburguesas Congeladas x4,4,2420,9680,9680,Alimentos,2024-03-17,49,qr,Rio Cuarto,2023-02-18
3,9,Yerba Mate Suave 1kg,2,3878,7756,7756,Alimentos,2024-01-13,20,tarjeta,Rio Cuarto,2023-01-20
3,2,Pepsi 1.5L,2,4973,9946,9946,Limpieza,2024-01-13,20,tarjeta,Rio Cuarto,2023-01-20
3,85,Jugo en Polvo Naranja,1,1856,1856,1856,Alimentos,2024-01-13,20,tarjeta,Rio Cuarto,2023-01-20
4,4,Fanta Naranja 1.5L,2,2033,4066,4066,Limpieza,2024-02-27,36,transferencia,Mendiolaza,2023-02-05
4,23,Bizcochos Salados,5,2380,11900,11900,Alimentos,2024-02-27,36,transferencia,Mendiolaza,2023-02-05
5,86,Jugo en Polvo Limón,4,4090,16360,16360,Limpieza,2024-06-11,56,tarjeta,Rio Cuarto,2023-02-25
6,25,Galletitas Vainilla,2,4015,8030,8030,Alimentos,2024-05-05,91,transferencia,Mendiolaza,2023-04-01
6,31,Mix de Frutos Secos 200g,3,3409,10227,10227,Alimentos,2024-05-05,91,transferencia,Mendiolaza,2023-04-01
6,83,Queso Untable 190g,1,1830,1830,1830,Alimentos,2024-05-05,91,transferencia,Mendiolaza,2023-04-01
6,59,Chicle Menta,4,3612,14448,14448,Alimentos,2024-05-05,91,transferencia,Mendiolaza,2023-04-01
7,63,Granola 250g,3,4337,13011,13011,Alimentos,2024-05-06,92,efectivo,Alta Gracia,2023-04-02
8,53,Lavandina 1L,5,1664,8320,8320,Alimentos,2024-01-06,66,transferencia,Villa Maria,2023-03-07
8,18,Queso Rallado 150g,4,3444,13776,13776,Limpieza,2024-01-06,66,transferencia,Villa Maria,2023-03-07
8,68,Vino Blanco 750ml,5,2684,13420,13420,Limpieza,2024-01-06,66,transferencia,Villa Maria,2023-03-07
9,65,Cerveza Rubia 1L,4,2423,9692,9692,Alimentos,2024-01-20,86,efectivo,Cordoba,2023-03-27
10,36,Dulce de Leche 400g,2,2559,5118,5118,Limpieza,2024-05-28,52,qr,Rio Cuarto,2023-02-21
10,100,Trapo de Piso,4,4854,19416,19416,Limpieza,2024-05-28,52,qr,Rio Cuarto,2023-02-21
10,37,Mermelada de Durazno 400g,3,3196,9588,9588,Alimentos,2024-05-28,52,qr,Rio Cuarto,2023-02-21
10,62,Stevia 100 sobres,1,3848,3848,3848,Limpieza,2024-05-28,52,qr,Rio Cuarto,2023-02-21
11,13,Té Verde 20 saquitos,1,2383,2383,2383,Alimentos,2024-04-10,20,qr,Rio Cuarto,2023-01-20
11,65,Cerveza Rubia 1L,2,2423,4846,4846,Alimentos,2024-04-10,20,qr,Rio Cuarto,2023-01-20
11,28,Papas Fritas Clásicas 100g,1,936,936,936,Limpieza,2024-04-10,20,qr,Rio Cuarto,2023-01-20
12,72,Ron 700ml,2,3876,7752,7752,Limpieza,2024-06-28,96,efectivo,Cordoba,2023-04-06
12,50,Azúcar 1kg,2,727,1454,1454,Limpieza,2024-06-28,96,efectivo,Cordoba,2023-04-06
12,56,Papel Higiénico x4,3,2532,7596,7596,Limpieza,2024-06-28,96,efectivo,Cordoba,2023-04-06
12,87,Sopa Instantánea Pollo,3,1679,5037,5037,Alimentos,2024-06-28,96,efectivo,Cordoba,2023-04-06
12,38,Mermelada de Frutilla 400g,4,1584,6336,6336,Limpieza,2024-06-28,96,efectivo,Cordoba,2023-04-06
13,87,Sopa Instantánea Pollo,1,1679,1679,1679,Alimentos,2024-01-24,6,tarjeta,Villa Maria,2023-01-06
13,81,Aceitunas Verdes 200g,3,2520,7560,7560,Alimentos,2024-01-24,6,tarjeta,Villa Maria,2023-01-06
13,13,Té Verde 20 saquitos,1,2383,2383,2383,Alimentos,2024-01-24,6,tarjeta,Villa Maria,2023-01-06
14,36,Dulce de Leche 400g,4,2559,10236,10236,Limpieza,2024-04-18,67,qr,Alta Gracia,2023-03-08
14,72,Ron 700ml,5,3876,19380,19380,Limpieza,2024-04-18,67,qr,Alta Gracia,2023-03-08
14,38,Mermelada de Frutilla 400g,3,1584,4752,4752,Limpieza,2024-04-18,67,qr,Alta Gracia,2023-03-08
14,97,Limpiavidrios 500ml,1,872,872,872,Alimentos,2024-04-18,67,qr,Alta Gracia,2023-03-08
15,37,Mermelada de Durazno 400g,3,3196,9588,9588,Alimentos,2024-06-27,56,transferencia,Rio Cuarto,2023-02-25
16,35,Barrita de Cereal 30g,5,4430,22150,22150,Alimentos,2024-04-12,2,efectivo,Carlos Paz,2023-01-02
17,81,Aceitunas Verdes 200g,5,2520,12600,12600,Alimentos,2024-02-17,88,efectivo,Villa Maria,2023-03-29
17,46,Lentejas Secas 500g,5,3036,15180,15180,Limpieza,2024-02-17,88,efectivo,Villa Maria,2023-03-29
17,74,Whisky 750ml,3,2953,8859,8859,Limpieza,2024-02-17,88,efectivo,Villa Maria,2023-03-29
18,33,Chocolate con Leche 100g,2,1255,2510,2510,Alimentos,2024-06-11,81,qr,Carlos Paz,2023-03-22
18,4,Fanta Naranja 1.5L,5,2033,10165,10165,Limpieza,2024-06-11,81,qr,Carlos Paz,2023-03-22
18,24,Galletitas Chocolate,2,1305,2610,2610,Limpieza,2024-06-11,81,qr,Carlos Paz,2023-03-22
18,15,Leche Descremada 1L,3,2538,7614,7614,Alimentos,2024-06-11,81,qr,Carlos Paz,2023-03-22
18,22,Medialunas de Manteca,5,2069,10345,10345,Limpieza,2024-06-11,81,qr,Carlos Paz,2023-03-22
19,38,Mermelada de Frutilla 400g,2,1584,3168,3168,Limpieza,2024-06-11,80,efectivo,Mendiolaza,2023-03-21
19,98,Desengrasante 500ml,3,2843,8529,8529,Limpieza,2024-06-11,80,efectivo,Mendiolaza,2023-03-21
19,63,Granola 250g,3,4337,13011,13011,Alimentos,2024-06-11,80,efectivo,Mendiolaza,2023-03-21
20,32,Chocolate Amargo 100g,3,2234,6702,6702,Limpieza,2024-01-13,75,tarjeta,Rio Cuarto,2023-03-16
21,76,Pizza Congelada Muzzarella,5,4286,21430,21430,Limpieza,2024-06-19,10,transferencia,Cordoba,2023-01-10
21,35,Barrita de Cereal 30g,1,4430,4430,4430,Alimentos,2024-06-19,10,transferencia,Cordoba,2023-01-10
22,9,Yerba Mate Suave 1kg,2,3878,7756,7756,Alimentos,2024-05-08,64,transferencia,Villa Maria,2023-03-05
22,28,Papas Fritas Clásicas 100g,3,936,2808,2808,Limpieza,2024-05-08,64,transferencia,Villa Maria,2023-03-05
22,24,Galletitas Chocolate,4,1305,5220,5220,Limpieza,2024-05-08,64,transferencia,Villa Maria,2023-03-05
23,64,Avena Instantánea 250g,4,3953,15812,15812,Limpieza,2024-05-16,78,transferencia,Villa Maria,2023-03-19
23,83,Queso Untable 190g,4,1830,7320,7320,Alimentos,2024-05-16,78,transferencia,Villa Maria,2023-03-19
24,91,Desodorante Aerosol,2,4690,9380,9380,Alimentos,2024-06-14,55,tarjeta,Mendiolaza,2023-02-24
24,40,Helado Chocolate 1L,5,1215,6075,6075,Limpieza,2024-06-14,55,tarjeta,Mendiolaza,2023-02-24
25,55,Shampoo 400ml,1,1407,1407,1407,Alimentos,2024-04-30,13,transferencia,Carlos Paz,2023-01-13
25,95,Mascarilla Capilar,5,1581,7905,7905,Alimentos,2024-04-30,13,transferencia,Carlos Paz,2023-01-13
25,72,Ron 700ml,1,3876,3876,3876,Limpieza,2024-04-30,13,transferencia,Carlos Paz,2023-01-13
26,79,Hamburguesas Congeladas x4,2,2420,4840,4840,Alimentos,2024-01-23,49,efectivo,Rio Cuarto,2023-02-18
26,86,Jugo en Polvo Limón,1,4090,4090,4090,Limpieza,2024-01-23,49,efectivo,Rio Cuarto,2023-02-18
27,7,Jugo de Manzana 1L,4,3269,13076,13076,Alimentos,2024-02-25,9,transferencia,Carlos Paz,2023-01-09
27,78,Verduras Congeladas Mix,4,4289,17156,17156,Limpieza,2024-02-25,9,transferencia,Carlos Paz,2023-01-09
28,74,Whisky 750ml,1,2953,2953,2953,Limpieza,2024-05-20,52,qr,Rio Cuarto,2023-02-21
28,91,Desodorante Aerosol,2,4690,9380,9380,Alimentos,2024-05-20,52,qr,Rio Cuarto,2023-02-21
28,72,Ron 700ml,1,3876,3876,3876,Limpieza,2024-05-20,52,qr,Rio Cuarto,2023-02-21
28,18,Queso Rallado 150g,2,3444,6888,6888,Limpieza,2024-05-20,52,qr,Rio Cuarto,2023-02-21
28,27,Alfajor Simple,5,2502,12510,12510,Alimentos,2024-05-20,52,qr,Rio Cuarto,2023-02-21
29,58,Caramelos Masticables,1,4752,4752,4752,Limpieza,2024-02-20,49,qr,Rio Cuarto,2023-02-18
29,36,Dulce de Leche 400g,2,2559,5118,5118,Limpieza,2024-02-20,49,qr,Rio Cuarto,2023-02-18
29,71,Vodka 700ml,4,508,2032,2032,Alimentos,2024-02-20,49,qr,Rio Cuarto,2023-02-18
29,27,Alfajor Simple,2,2502,5004,5004,Alimentos,2024-02-20,49,qr,Rio Cuarto,2023-02-18
29,66,Cerveza Negra 1L,1,1533,1533,1533,Limpieza,2024-02-20,49,qr,Rio Cuarto,2023-02-18
30,49,Harina de Trigo 1kg,4,2512,10048,10048,Alimentos,2024-03-03,93,efectivo,Alta Gracia,2023-04-03
30,78,Verduras Congeladas Mix,3,4289,12867,12867,Limpieza,2024-03-03,93,efectivo,Alta Gracia,2023-04-03
30,82,Aceitunas Negras 200g,4,2394,9576,9576,Limpieza,2024-03-03,93,efectivo,Alta Gracia,2023-04-03
30,7,Jugo de Manzana 1L,1,3269,3269,3269,Alimentos,2024-03-03,93,efectivo,Alta Gracia,2023-04-03
31,92,Crema Dental 90g,4,2512,10048,10048,Limpieza,2024-05-22,19,tarjeta,Mendiolaza,2023-01-19
31,90,Toallas Húmedas x50,3,2902,8706,8706,Limpieza,2024-05-22,19,tarjeta,Mendiolaza,2023-01-19
31,84,Queso Azul 150g,5,1645,8225,8225,Limpieza,2024-05-22,19,tarjeta,Mendiolaza,2023-01-19
32,72,Ron 700ml,5,3876,19380,19380,Limpieza,2024-01-30,31,efectivo,Villa Maria,2023-01-31
32,53,Lavandina 1L,4,1664,6656,6656,Alimentos,2024-01-30,31,efectivo,Villa Maria,2023-01-31
